id,name,year,odokm,price,grade,drive,owner,url,date,last_price_date,last_price_value,color,registration,post_code,last_modified,price_guide,price_change
2018-2WD-SSE-AD-12963037,2018 Toyota Kluger GX Auto 2WD,2018,61000,39500,1,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/SSE-AD-12963037/,2022-06-22,2022-06-10,39500,blue,1 Month - July 2022,4060,2022-06-13,range:350400-39500;private:35300-38700;dealer:37050-40600,"count:1;amount:1000;events:2022-06-10 38500,2022-06-10 39500"
2015-2WD-SSE-AD-12924600,2015 Toyota Kluger GX Auto 2WD,2015,66000,37500,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12924600/,2022-06-22,2022-06-21,37500,Eclipse Black,2 Months - August 2022,4077,2022-06-21,range:350400-37500;private:25800-28900;dealer:27200-30400,"count:7;amount:-2490;events:2022-06-03 39990,2022-06-20 38990,2022-06-21 37500"
