id,owner,name,year,odokm,price,color,post_code,registration,price_guide,price_change,last_price_date,last_price_value,last_modified,date,url
2012-SSE-AD-12934876,private,2012 Toyota Corolla Ascent Auto,2012,71000,14500,Glacier White,4170,1 Month - July 2022,10015(8200.9000)-14500(10100.10850),cnt:2-amt:-2250-evts:[2022-06-05:16750;2022-06-13:15500;2022-06-17:14500],2022-06-17,14500,2022-06-17,2022-06-23,https://www.carsales.com.au/cars/details/2012-toyota-corolla-ascent-auto/SSE-AD-12934876/
2016-SSE-AD-12453804,private,2016 Toyota Corolla Axio Auto,2016,48500,19500,silver,4108,2 Months - August 2022,15020(.)-19500(.),cnt:1-amt:0-evts:[],,,2022-05-31,2022-06-23,https://www.carsales.com.au/cars/details/2016-toyota-corolla-axio-auto/SSE-AD-12453804/
2020-SSE-AD-12973928,private,2020 Toyota Corolla SX Auto,2020,20820,32000,Eclipse Black,4503,4 Months - October 2022,30035(27500.28950)-32000(30200.31750),cnt:1-amt:0-evts:[],,,2022-06-12,2022-06-23,https://www.carsales.com.au/cars/details/2020-toyota-corolla-sx-auto/SSE-AD-12973928/
2014-SSE-AD-13003482,private,2014 Toyota Corolla Ascent Sport Auto,2014,97501,16500,Tidal Blue,4164,3 Months - September 2022,15020(14400.15400)-16500(16600.17700),cnt:1-amt:-500-evts:[2022-06-17:17000;2022-06-23:16500],2022-06-23,16500,2022-06-23,2022-06-23,https://www.carsales.com.au/cars/details/2014-toyota-corolla-ascent-sport-auto/SSE-AD-13003482/
2013-SSE-AD-12862818,private,2013 Toyota Corolla Ascent Auto,2013,108904,15999,bronze,4160,2 Months - August 2022,15020(12900.13900)-15999(15100.16200),cnt:1-amt:0-evts:[],,,2022-06-05,2022-06-23,https://www.carsales.com.au/cars/details/2013-toyota-corolla-ascent-auto/SSE-AD-12862818/
2018-SSE-AD-13008901,private,2018 Toyota Corolla Ascent Sport Auto,2018,59100,23500,Glacier White,4171,5 Months - November 2022,20025(20200.21500)-23500(22600.23900),cnt:1-amt:0-evts:[],,,2022-06-20,2022-06-23,https://www.carsales.com.au/cars/details/2018-toyota-corolla-ascent-sport-auto/SSE-AD-13008901/
2019-SSE-AD-13018002,private,2019 Toyota Corolla ZR Auto,2019,63000,32500,Silver Pearl,4306,2 Months - August 2022,30035(28300.29750)-32500(31100.32700),cnt:1-amt:0-evts:[],,,2022-06-20,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-zr-auto/SSE-AD-13018002/
2011-SSE-AD-12947622,private,2011 Toyota Corolla Ascent Sport Auto MY11,2011,89500,14000,Ink,4174,4 Months - October 2022,10015(7100.7850)-14000(8900.9600),cnt:1-amt:-1500-evts:[2022-06-07:15500;2022-06-09:14000],2022-06-09,14000,2022-06-09,2022-06-23,https://www.carsales.com.au/cars/details/2011-toyota-corolla-ascent-sport-auto-my11/SSE-AD-12947622/
2014-SSE-AD-13038349,private,2014 Toyota Corolla Ascent Sport Auto,2014,82500,21499,silver,4067,4 Months - October 2022,20025(14400.15400)-21499(16600.17700),cnt:1-amt:-501-evts:[2022-06-23:22000;2022-06-23:21499],2022-06-23,21499,2022-06-23,2022-06-23,https://www.carsales.com.au/cars/details/2014-toyota-corolla-ascent-sport-auto/SSE-AD-13038349/
2019-SSE-AD-6971070,private,2019 Toyota Corolla Ascent Sport Hybrid Auto,2019,75000,27000,Eclipse Black,4117,10 Months - April 2023,25030(24700.26000)-27000(27300.28700),cnt:16-amt:4000-evts:[2020-12-23:23000;2022-06-14:26000;2022-06-18:27000],2022-06-18,27000,2022-06-18,2022-06-23,https://www.carsales.com.au/cars/details/2019-toyota-corolla-ascent-sport-hybrid-auto/SSE-AD-6971070/
2017-SSE-AD-12102194,private,2017 Toyota Corolla Ascent Auto,2017,135000,17990,Glacier White,4305,May 2022,15020(18300.19500)-17990(20600.21850),cnt:1-amt:-510-evts:[2021-12-20:18500;2021-12-28:17990],2021-12-28,17990,2022-05-30,2022-06-23,https://www.carsales.com.au/cars/details/2017-toyota-corolla-ascent-auto/SSE-AD-12102194/
2015-SSE-AD-12946035,private,2015 Toyota Corolla Ascent Sport Auto,2015,47500,20000,Positano Bronze,4509,9 Months - March 2023,20020(14700.15700)-20000(16800.17950),cnt:1-amt:0-evts:[],,,2022-06-07,2022-06-23,https://www.carsales.com.au/cars/details/2015-toyota-corolla-ascent-sport-auto/SSE-AD-12946035/
2020-SSE-AD-13036228,private,2020 Toyota Corolla ZR Hybrid Auto,2020,25800,39000,Peacock Black,4005,6 Months - December 2022,35040(33800.35450)-39000(36900.38700),cnt:1-amt:0-evts:[],,,2022-06-23,2022-06-23,https://www.carsales.com.au/cars/details/2020-toyota-corolla-zr-hybrid-auto/SSE-AD-13036228/
2013-SSE-AD-12860928,private,2013 Toyota Corolla Ascent Sport Auto,2013,98500,15500,Crystal Pearl,4170,6 Months - December 2022,15020(13400.14350)-15500(15600.16700),cnt:1-amt:0-evts:[],,,2022-06-19,2022-06-23,https://www.carsales.com.au/cars/details/2013-toyota-corolla-ascent-sport-auto/SSE-AD-12860928/
2013-SSE-AD-12945207,private,2013 Toyota Corolla Ascent Sport Auto,2013,120923,14999,Inferno,4507,1 Month - July 2022,10015(13400.14350)-14999(15600.16700),cnt:1-amt:0-evts:[],,,2022-06-07,2022-06-23,https://www.carsales.com.au/cars/details/2013-toyota-corolla-ascent-sport-auto/SSE-AD-12945207/
