id,name,year,odokm,price,grade,drive,owner,url,date
2019-AWD-OAG-AD-20825955,2019 Toyota Kluger Grande Auto AWD,2019,85739,53000,3,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/OAG-AD-20825955/,2022-06-18
2015-2WD-OAG-AD-20753419,2015 Toyota Kluger GX Auto 2WD,2015,146233,28746,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20753419/,2022-06-18
2015-2WD-OAG-AD-20810036,2015 Toyota Kluger GXL Auto 2WD,2015,129064,34672,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20810036/,2022-06-18
2018-2WD-OAG-AD-20810571,2018 Toyota Kluger GXL Auto 2WD,2018,76862,42999,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20810571/,2022-06-18
2017-2WD-OAG-AD-20760661,2017 Toyota Kluger GX Auto 2WD,2017,130575,36990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20760661/,2022-06-18
2018-AWD-OAG-AD-20726476,2018 Toyota Kluger GX Auto AWD,2018,140922,36371,1,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-awd/OAG-AD-20726476/,2022-06-18
2014-2WD-OAG-AD-20695501,2014 Toyota Kluger GX Auto 2WD,2014,134568,30488,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20695501/,2022-06-18
2019-AWD-OAG-AD-20793961,2019 Toyota Kluger GXL Auto AWD,2019,32834,54999,2,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-awd/OAG-AD-20793961/,2022-06-18
2016-AWD-OAG-AD-20180043,2016 Toyota Kluger GX Auto AWD,2016,149852,36990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-awd/OAG-AD-20180043/,2022-06-18
2019-AWD-OAG-AD-20834216,2019 Toyota Kluger GX Auto AWD,2019,59056,46888,1,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gx-auto-awd/OAG-AD-20834216/,2022-06-18
2015-AWD-OAG-AD-20793960,2015 Toyota Kluger Grande Auto AWD,2015,93633,41999,3,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-awd/OAG-AD-20793960/,2022-06-18
2018-AWD-OAG-AD-20765185,2018 Toyota Kluger GXL Auto AWD,2018,92747,43990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/OAG-AD-20765185/,2022-06-18
2011-2WD-OAG-AD-20795694,2011 Toyota Kluger KX-R Auto 2WD MY11,2011,138900,19995,1,2WD,dealer,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/OAG-AD-20795694/,2022-06-18
2018-2WD-OAG-AD-20730142,2018 Toyota Kluger GXL Auto 2WD,2018,96089,45990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-2wd/OAG-AD-20730142/,2022-06-18
2018-2WD-OAG-AD-20814007,2018 Toyota Kluger GX Auto 2WD,2018,97476,39490,1,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/OAG-AD-20814007/,2022-06-18
2018-2WD-OAG-AD-20745701,2018 Toyota Kluger GX Auto 2WD,2018,66163,45505,1,2WD,dealer,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/OAG-AD-20745701/,2022-06-18
2019-AWD-OAG-AD-20688650,2019 Toyota Kluger Grande Auto AWD,2019,41260,62990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/OAG-AD-20688650/,2022-06-18
