,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,year,odokm,price,grade,drive,owner,url,date
75,75.0,75.0,75.0,75.0,11.0,,2019-2WD-SSE-AD-12313738,2019 Toyota Kluger Grande Auto 2WD,2019,27000,58500,3,2WD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-2wd/SSE-AD-12313738/,2022-06-19 00:00:00
76,76.0,76.0,76.0,0.0,,,2014-AWD-SSE-AD-13027234,2014 Toyota Kluger GXL Auto AWD,2014,112000,34000,2,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-awd/SSE-AD-13027234/,2022-06-22 00:00:00
77,77.0,77.0,77.0,1.0,,,2012-AWD-SSE-AD-12884730,2012 Toyota Kluger Altitude Auto AWD MY12,2012,145000,24500,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-awd-my12/SSE-AD-12884730/,2022-06-22 00:00:00
78,78.0,78.0,78.0,2.0,,,2012-AWD-SSE-AD-12884730,2012 Toyota Kluger Altitude Auto AWD MY12,2012,145000,24500,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-awd-my12/SSE-AD-12884730/,2022-06-22 00:00:00
79,79.0,79.0,79.0,3.0,,,2015-2WD-SSE-AD-12924600,2015 Toyota Kluger GX Auto 2WD,2015,66000,37500,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12924600/,2022-06-22 00:00:00
80,80.0,80.0,80.0,4.0,,,2018-2WD-SSE-AD-12963037,2018 Toyota Kluger GX Auto 2WD,2018,61000,39500,1,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/SSE-AD-12963037/,2022-06-22 00:00:00
81,81.0,81.0,81.0,5.0,,,2014-AWD-SSE-AD-13027234,2014 Toyota Kluger GXL Auto AWD,2014,112000,34000,2,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-awd/SSE-AD-13027234/,2022-06-22 00:00:00
82,82.0,82.0,82.0,6.0,,,2019-2WD-SSE-AD-12799852,2019 Toyota Kluger GXL Auto 2WD,2019,48500,48800,2,2WD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-2wd/SSE-AD-12799852/,2022-06-22 00:00:00
83,83.0,83.0,83.0,7.0,,,2018-AWD-SSE-AD-12554582,2018 Toyota Kluger Grande Auto AWD,2018,64665,53990,3,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-awd/SSE-AD-12554582/,2022-06-22 00:00:00
84,84.0,84.0,84.0,8.0,,,2016-AWD-SSE-AD-12902702,2016 Toyota Kluger Grande Auto AWD,2016,125000,39990,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12902702/,2022-06-22 00:00:00
85,85.0,85.0,85.0,9.0,,,2018-2WD-SSE-AD-12801863,2018 Toyota Kluger Grande Auto 2WD,2018,33500,50000,3,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-grande-auto-2wd/SSE-AD-12801863/,2022-06-22 00:00:00
86,86.0,86.0,86.0,10.0,,,2018-AWD-SSE-AD-12930081,2018 Toyota Kluger GXL Auto AWD,2018,103300,39999,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12930081/,2022-06-22 00:00:00
87,87.0,87.0,87.0,11.0,,,2015-2WD-SSE-AD-12720105,2015 Toyota Kluger GX Auto 2WD,2015,143000,27995,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12720105/,2022-06-22 00:00:00
88,88.0,88.0,88.0,12.0,,,2014-AWD-SSE-AD-12752087,2014 Toyota Kluger Grande Auto AWD,2014,101900,37500,3,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/SSE-AD-12752087/,2022-06-22 00:00:00
89,89.0,89.0,89.0,13.0,,,2019-AWD-SSE-AD-12537255,2019 Toyota Kluger Grande Auto AWD,2019,15000,61999,3,AWD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/SSE-AD-12537255/,2022-06-22 00:00:00
90,90.0,90.0,90.0,0.0,,,2016-AWD-SSE-AD-12447352,2016 Toyota Kluger Grande Auto AWD,2016,54000,48000,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12447352/,2022-06-22 00:00:00
91,91.0,91.0,91.0,1.0,,,2015-AWD-SSE-AD-12985739,2015 Toyota Kluger Grande Auto AWD,2015,112549,41500,3,AWD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-awd/SSE-AD-12985739/,2022-06-22 00:00:00
92,92.0,92.0,92.0,2.0,,,2017-2WD-SSE-AD-12934227,2017 Toyota Kluger GX Auto 2WD,2017,111000,33500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12934227/,2022-06-22 00:00:00
93,93.0,93.0,93.0,3.0,,,2014-AWD-SSE-AD-12621245,2014 Toyota Kluger GX Auto AWD,2014,91275,30900,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12621245/,2022-06-22 00:00:00
94,94.0,94.0,94.0,4.0,,,2011-2WD-SSE-AD-13015561,2011 Toyota Kluger KX-S Auto 2WD MY11,2011,141000,23700,2,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-s-auto-2wd-my11/SSE-AD-13015561/,2022-06-22 00:00:00
