,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,year,odokm,price,grade,drive,owner,url,date
42,42.0,42.0,42.0,42.0,42.0,4.0,2014-2WD-SSE-AD-12059000,2014 Toyota Kluger Grande Auto 2WD,2014,71243,39500,3,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/SSE-AD-12059000/,2022-06-19 00:00:00
43,43.0,43.0,43.0,43.0,43.0,5.0,2014-AWD-SSE-AD-12966518,2014 Toyota Kluger GX Auto AWD,2014,144226,29990,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12966518/,2022-06-19 00:00:00
44,44.0,44.0,44.0,44.0,44.0,6.0,2017-2WD-SSE-AD-12624836,2017 Toyota Kluger GX Auto 2WD,2017,67000,35990,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12624836/,2022-06-19 00:00:00
45,45.0,45.0,45.0,45.0,45.0,7.0,2017-2WD-SSE-AD-12456464,2017 Toyota Kluger GX Auto 2WD,2017,113000,34500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12456464/,2022-06-19 00:00:00
46,46.0,46.0,46.0,46.0,46.0,8.0,2016-2WD-SSE-AD-12177637,2016 Toyota Kluger GXL Auto 2WD,2016,89000,38000,2,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/SSE-AD-12177637/,2022-06-19 00:00:00
47,47.0,47.0,47.0,47.0,47.0,9.0,2015-2WD-SSE-AD-12940922,2015 Toyota Kluger GX Auto 2WD,2015,146743,28500,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12940922/,2022-06-19 00:00:00
48,48.0,48.0,48.0,48.0,48.0,10.0,2018-AWD-SSE-AD-12848247,2018 Toyota Kluger GXL Auto AWD,2018,37000,54000,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12848247/,2022-06-19 00:00:00
49,49.0,49.0,49.0,49.0,49.0,11.0,2019-2WD-SSE-AD-12313738,2019 Toyota Kluger Grande Auto 2WD,2019,27000,58500,3,2WD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-2wd/SSE-AD-12313738/,2022-06-19 00:00:00
50,50.0,50.0,50.0,50.0,0.0,,2012-AWD-SSE-AD-12884730,2012 Toyota Kluger Altitude Auto AWD MY12,2012,145000,24500,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-awd-my12/SSE-AD-12884730/,2022-06-19 00:00:00
51,51.0,51.0,51.0,51.0,1.0,,2018-2WD-SSE-AD-12963037,2018 Toyota Kluger GX Auto 2WD,2018,61000,39500,1,2WD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gx-auto-2wd/SSE-AD-12963037/,2022-06-19 00:00:00
